월,고유주차,주차,과목,시작일,세부 계획,Gemini 질문 예시,학습 완료
2025-06,0,1주차,민법,2025-06-03,,,False
2025-06,1,2주차,경제학,2025-06-10,,,False
2025-06,2,3주차,회계학,2025-06-17,,,False
2025-06,3,4주차,부동산학,2025-06-24,,,False
2025-07,4,1주차,감정평가관계법규,2025-07-01,,,False
2025-07,5,2주차,민법,2025-07-08,,,False
2025-07,6,3주차,경제학,2025-07-15,,,False
2025-07,7,4주차,회계학,2025-07-22,,,False
2025-07,8,5주차,부동산학,2025-07-29,,,False
2025-08,9,1주차,감정평가관계법규,2025-08-05,,,False
2025-08,10,2주차,민법,2025-08-12,,,False
2025-08,11,3주차,경제학,2025-08-19,,,False
2025-08,12,4주차,회계학,2025-08-26,,,False
2025-09,13,1주차,부동산학,2025-09-02,,,False
2025-09,14,2주차,감정평가관계법규,2025-09-09,,,False
2025-09,15,3주차,민법,2025-09-16,,,False
2025-09,16,4주차,경제학,2025-09-23,,,False
2025-09,17,5주차,회계학,2025-09-30,,,False
2025-10,18,1주차,부동산학,2025-10-07,,,False
2025-10,19,2주차,감정평가관계법규,2025-10-14,,,False
2025-10,20,3주차,민법,2025-10-21,,,False
2025-10,21,4주차,경제학,2025-10-28,,,False
2025-11,22,1주차,회계학,2025-11-04,,,False
2025-11,23,2주차,부동산학,2025-11-11,,,False
2025-11,24,3주차,감정평가관계법규,2025-11-18,,,False
2025-11,25,4주차,민법,2025-11-25,,,False
2025-12,26,1주차,경제학,2025-12-02,,,False
2025-12,27,2주차,회계학,2025-12-09,,,False
2025-12,28,3주차,부동산학,2025-12-16,,,False
2025-12,29,4주차,감정평가관계법규,2025-12-23,,,False
2025-12,30,5주차,민법,2025-12-30,,,False
2026-01,31,1주차,경제학,2026-01-06,,,False
2026-01,32,2주차,회계학,2026-01-13,,,False
2026-01,33,3주차,부동산학,2026-01-20,,,False
2026-01,34,4주차,감정평가관계법규,2026-01-27,,,False
2026-02,35,1주차,민법,2026-02-03,,,False
2026-02,36,2주차,경제학,2026-02-10,,,False
2026-02,37,3주차,회계학,2026-02-17,,,False
2026-02,38,4주차,부동산학,2026-02-24,,,False
2026-03,39,1주차,감정평가관계법규,2026-03-03,,,False
2026-03,40,2주차,민법,2026-03-10,,,False
2026-03,41,3주차,경제학,2026-03-17,,,False
2026-03,42,4주차,회계학,2026-03-24,,,False
2026-03,43,5주차,부동산학,2026-03-31,,,False
2026-04,44,1주차,감정평가관계법규,2026-04-07,,,False
2026-04,45,2주차,민법,2026-04-14,,,False
2026-04,46,3주차,경제학,2026-04-21,,,False
2026-04,47,4주차,회계학,2026-04-28,,,False
2026-05,48,1주차,부동산학,2026-05-05,,,False
2026-05,49,2주차,감정평가관계법규,2026-05-12,,,False
2026-05,50,3주차,민법,2026-05-19,,,False
2026-05,51,4주차,경제학,2026-05-26,,,False
2026-06,52,1주차,회계학,2026-06-02,,,False
2026-06,53,2주차,부동산학,2026-06-09,,,False
2026-06,54,3주차,감정평가관계법규,2026-06-16,,,False
2026-06,55,4주차,민법,2026-06-23,,,False
2026-06,56,5주차,경제학,2026-06-30,,,False
2026-07,57,1주차,회계학,2026-07-07,,,False
2026-07,58,2주차,부동산학,2026-07-14,,,False
2026-07,59,3주차,감정평가관계법규,2026-07-21,,,False
2026-07,60,4주차,민법,2026-07-28,,,False
2026-08,61,1주차,경제학,2026-08-04,,,False
2026-08,62,2주차,회계학,2026-08-11,,,False
2026-08,63,3주차,부동산학,2026-08-18,,,False
2026-08,64,4주차,감정평가관계법규,2026-08-25,,,False
2026-09,65,1주차,민법,2026-09-01,,,False
2026-09,66,2주차,경제학,2026-09-08,,,False
2026-09,67,3주차,회계학,2026-09-15,,,False
2026-09,68,4주차,부동산학,2026-09-22,,,False
2026-09,69,5주차,감정평가관계법규,2026-09-29,,,False
2026-10,70,1주차,민법,2026-10-06,,,False
2026-10,71,2주차,경제학,2026-10-13,,,False
2026-10,72,3주차,회계학,2026-10-20,,,False
2026-10,73,4주차,부동산학,2026-10-27,,,False
2026-11,74,1주차,감정평가관계법규,2026-11-03,,,False
2026-11,75,2주차,민법,2026-11-10,,,False
2026-11,76,3주차,경제학,2026-11-17,,,False
2026-11,77,4주차,회계학,2026-11-24,,,False
2026-12,78,1주차,부동산학,2026-12-01,,,False
2026-12,79,2주차,감정평가관계법규,2026-12-08,,,False
2026-12,80,3주차,민법,2026-12-15,,,False
2026-12,81,4주차,경제학,2026-12-22,,,False
2026-12,82,5주차,회계학,2026-12-29,,,False
2027-01,83,1주차,부동산학,2027-01-05,,,False
2027-01,84,2주차,감정평가관계법규,2027-01-12,,,False
2027-01,85,3주차,민법,2027-01-19,,,False
2027-01,86,4주차,경제학,2027-01-26,,,False
2027-02,87,1주차,회계학,2027-02-02,,,False
2027-02,88,2주차,부동산학,2027-02-09,,,False
2027-02,89,3주차,감정평가관계법규,2027-02-16,,,False
2027-02,90,4주차,민법,2027-02-23,,,False
2027-03,91,1주차,경제학,2027-03-02,,,False
2027-03,92,2주차,회계학,2027-03-09,,,False
2027-03,93,3주차,부동산학,2027-03-16,,,False
2027-03,94,4주차,감정평가관계법규,2027-03-23,,,False
2027-03,95,5주차,민법,2027-03-30,,,False
2027-04,96,1주차,경제학,2027-04-06,,,False
2027-04,97,2주차,회계학,2027-04-13,,,False
2027-04,98,3주차,부동산학,2027-04-20,,,False
2027-04,99,4주차,감정평가관계법규,2027-04-27,,,False
2027-05,100,1주차,민법,2027-05-04,,,False
2027-05,101,2주차,경제학,2027-05-11,,,False
2027-05,102,3주차,회계학,2027-05-18,,,False
2027-05,103,4주차,부동산학,2027-05-25,,,False
2027-06,104,1주차,감정평가관계법규,2027-06-01,,,False
2027-06,105,2주차,민법,2027-06-08,,,False
2027-06,106,3주차,경제학,2027-06-15,,,False
2027-06,107,4주차,회계학,2027-06-22,,,False
2027-06,108,5주차,부동산학,2027-06-29,,,False
